SpaceX「星舰」第三次试飞，达到环绕速度，重返大气层过程中失去信号，任务提前结束，有哪些看点？,gender,comments,likes,updated_time,IP
五年前的CG【SpaceX】马斯克最新发布「星舰CG」及计划，梦一步步成真_哔哩哔哩_bilibili,1,0,0,1710435627,未知
spaceX只不过是证明了一个大家都知道的事情：现代化企业运作方式对家庭作坊式公司的碾压是多么令人绝望。,0,0,1,1710435611,加拿大
看点应该还是很足的，需要相关部门详细探讨。我等看个热闹，这八字才画了一点，不着急。,0,0,0,1710435702,江苏
首先，恭喜spacex，恭喜马斯克，恭喜星舰这次测试取得重大成果不是很能想明白，为什么这么多回答和评论要对中国航天怨声载道，一顿冷嘲热讽啊，我寻思中国航天是做了什么我不知道的罪大恶极的破事吗？平常在简中互联网甚至都不敢吹中国航天，怕被人骂。而且中国的航天计划也没出现什么大的意外，都是一步步按计划来的啊，美国第一次载人航天的时候，我们还在经历被某些人心心念念的三年自然灾害。这吃饱饭才几年啊，怎么就敢厚着脸皮去和美国比航天啊星舰最后成功了，能达到所有设计标准了，再然后呢？你们觉得能走向星辰大海了，可是美国人能带着你？你就算移民也没用，你长着一张中国人的脸，建议重新投胎，没准能换一身金发碧眼和白皮。天天说中国航天宏大叙事，难道不是你们这帮人在宏大叙事吗？这还没商用呢，就开始幻想着移居地外行星了，开启工业革命了，称霸地球了,-1,0,0,1710435906,未知
建议兔子奋起直追不要看热闹楼市成交-87：2月太原、深圳房地产月报，2010-2024年太原、深圳二手房价格走势《楼市成交-86：1月天津、南京、武汉、重庆、成都、西安、青岛、长沙、广州新房月报，1-2月百强房企销售额，数据说明了什么？》2月太原新房住宅销售面积11.59w平，1-2月太原新房住宅销售面积合计24.96w平，较去年54.72w平同比下跌54.38%。1-2月百强房企操盘金额同比下跌48.8%，太原楼市成交面积与全国趋势保持一致，2023年全国主要城市新房住宅销售面积前高后低，全年略增或略减，2023年救市举措透支了2024年的社会购买力。2024年1-2月的房地产市场成交情况恰恰印证了我们关于投资者断层的判断，市场在沿着我们判断的方向进行发展，我们有信心太原二手房价格回落至8900元附近。2018年冲进太原楼市的购房者基本处于浮亏状态，2024年底，太原房价将2018年以来的进入者彻底套牢，今年便是他们止损出局的元年。2月深圳新房成交810套，二手房成交2098套，新房成交较去年有所恢复，但是整体趋势还是处于低位，并未发生反转。真正能够代表全国楼市风向标的城市是北、上、广、深？北、上、广、深已经进入到了存量房时代，其中北京、上海存在严重的限购政策，强二线城市杭州、南京、青岛、西安、成都、重庆新房住宅成交体量较大、参与人口较多、居民杠杆率较高，因此具有一定参考性。2017年冲进深圳楼市的资本基本处于浮亏状态，即进入到了楼市盈亏平衡线，一旦市场加速下行，那么将使得2015年涨价去库存的成果毁于一旦，居民财富将损失50%-70%。 ,-1,0,0,1710436001,山西
感觉不如华为...5G,-1,0,0,1710435446,山东
我对于这件事情最大的疑惑是：怎么就成为了人类星际时代的开启了？怎么就未来航海星空指日可待了？它的名字叫星舰，不等同于他真的等于科幻片里的星舰。无论是可回收，还是载重增加，还是低价燃料，这三件事没一件事可以打破人类脱离地球束缚进入星际时代吧？更何况这件事情八字还没一撇，我看周围的欢呼声仿佛是下一刻就星际旅行了。你说星舰的发展有助于推动航天市场的发展，那还有的说头。但是你往上带高帽子，什么星际时代的起点，人类文明的里程碑，全球航天事业的断崖式领先，更有甚者开始了第四次工业革命。真的过了！,-1,0,1,1710435316,天津
有没有人知道老板在哪？这次竟然没在,-1,0,0,1710435296,美国
星舰第三次发射入轨成功，​回收失败！这不是人类之光？？？​某国家连火箭回收的想法都不敢想，更别提造出星舰了，人家试验3次就入轨了，到底谁差距大啊？这才叫遥遥领先！！！！​酸马斯克？地球配吗？总不能像朝鲜天天喊口号忠诚忠诚，就能掩饰别人的强大了？差距在哪看不见还是硬要装看不见啊？,-1,0,1,1710435245,吉林
星舰失去信号，提前结束任务，这分明表示星舰又废了炸了呀！结果，好多祝贺星舰的！呵呵！啥也不是，它们就只剩下舔了！,1,16,3,1710435216,江苏
其它没啥，再入烧掉的环节不幸被我乌鸦嘴了。但是我想强调的是，星链直播再入再次啪啪打脸 微博上那个顶着奥卡姆剃刀名字的不学无术的“通信专家”。你不是一直坚持星链不能动中通吗，星舰二级再入够不够动？除了星链还有啥动中通系统能穿黑障？,0,0,1,1710435190,未知
省流：1 入轨大成功，作为载具算合格了2 一级可控再入失败，最后阶段姿态控制、引擎点火均有问题个人猜测：栅格舵飞控算法有问题，末端栅格舵和本体出现了过修正，有可能是低估了栅格舵能产生的力矩大小；尝试landing burn时，出现了一瞬间的绿光，说明出现engine-rich burn，考虑到箭体晃动明显，不稳定的姿态可能导致燃料供应的出现问题，进而造成点火失败注意左下角的绿光3 二级可控再入失败，目测姿态控制有问题，没有稳定保持隔热瓦一面迎风，大概率在通过黑障时解体4 在轨燃料输送演示成功（从二级的头部储箱转移到主储箱）5 在轨二次点火演示放弃（舰载电脑判断未达到预定条件，放弃二次点火）6 星链再次展现了无与伦比的稳定性和可靠性。星链信号保持到了完全进入黑障前的最后一刻，甚至拍下了长达90秒的等离子体画面！玫瑰色的等离子体，太漂亮了【星舰飞船再入大气层时，穿过等离子体的科幻画面-哔哩哔哩】 https://b23.tv/6oXzGRw下一步：1 模拟载荷入轨2 在轨二次点火演示3 优化一级和二级可控再入能力4 加强隔热瓦连接强度，减少再入过程中隔热瓦掉落总结：星舰已成，人类获得了航天领域的“工业母机”,1,0,23,1710434590,江苏
别吹了，开始反思了。玛德，有点吊。中航+华为+比亚迪一起上吧。,-1,0,0,1710434581,河南
发射成功，回收没有成功。算是成功一半了。我的梦想就是成为天星舰水手，航行于星辰大海。难道这又朝梦想前进了一小步？开玩笑的。航天的核心就是火箭的运载能力和发射成本。马斯克的可回收猎鹰火箭成功后，发射成本大降。得益于此，星链开始了大规模部署，强势抢占太空卫星轨道。2023年，SpaceX以96次发射占全世界火箭成功发射数量的45%，发射的卫星数量2514颗（SpaceX星链占1948颗），占全世界的87%。2023年发射载荷质量统计上，SpaceX全年发射质量达到1286吨，占全球发射质量的80%左右。space x 一家公司的绝对优势恐怖如斯。猎鹰9号的近地运载能力是22.8吨。星舰的近地运载能力是大约150吨。这个运载能力挺恐怖的。我国天宫空间站是多次发射组装的，停泊了一艘载人飞船后的天宫空间站大约70多吨。如果火箭具有150吨的近地运载能力，那么只需要一次发射就能搞定一个超大型空间站了。所以，如果可回收星舰完全成功，恐怕马斯克吹得牛逼，也就是载人月球旅行和火星移民真要实现了。space x这种不怕炸火箭，快速迭代的研发方式确实厉害。米帝风投资本也真信马斯克，愿意投钱。目前，米帝是资本严重过剩，美元对内贬值对外升值，这真是处于大规模风投的黄金时期。,1,0,0,1710434567,北京
星舰最全最快最准的消息看扣群  757093807https://www.zhihu.com/video/1751752680694034432来了来了！！SpaceX官方直播画面精选和各个视角发射视频,1,1,3,1710434537,广东
美团就是输输输，老钟越是嘤嘤嘤,-1,1,0,1710434403,广东
本来也没什么看点，毕竟第二次进步这么大，第三次成功几率大是肯定的。我觉得最大的看点反而是各个平台的热搜标题,-1,0,0,1710434393,河北
作为一次性火箭，星舰已经合格了，下次铁定就带着星链V3扔到轨道然后美国有了一个设计并建造在21世纪的全新设计的威力无敌加强的且超级廉价的土星五号,-1,0,11,1710434373,山东
这个标题就起的很灵性。,1,0,0,1710434273,美国
留给粉红们嘲讽的时间已经不多了！,-1,0,0,1710434266,广东
SpaceX「星舰」的第三次试飞虽然没有完全按照预期进行，但仍展示了该项目在太空探索技术方面的重大进步和潜力。以下是此次试飞的主要成就和挑战的总结：达到环绕速度：「星舰」成功达到了环绕地球飞行所需的速度，这是进入太空任务的关键一步，显示了其作为未来深空探索和可能的火星任务的潜力。完成大部分预设任务：尽管最终任务提前结束，「星舰」在飞行过程中成功完成了其大部分预设任务，证明了其设计和功能的有效性。重返大气层过程中失去信号：在重返大气层的过程中，「星舰」与地面控制失去了信号，导致任务提前结束。这个挑战突显了太空探索中的不确定性和风险，同时也为SpaceX提供了宝贵的数据，用于未来改进设计和操作。此次试飞虽然遇到了挑战，但也为SpaceX及其「星舰」项目提供了重要的学习机会。通过分析此次试飞的数据和经验，SpaceX可以进一步优化「星舰」的设计和性能，为未来的试飞和太空任务奠定更坚实的基础。随着技术的进步和经验的积累，SpaceX「星舰」有望在不久的将来实现其太空探索和人类登陆火星的宏伟目标。,1,0,0,1710434188,湖北
人均本科率4%果然不是开玩笑的。。人类第一次把5000吨的巨型火箭成功入轨，还有人认为这属于失败......你们就酸吧,0,0,4,1710434156,广东
已经迫不及待等第四发了,-1,0,0,1710434144,江苏
真正的遥遥领先,-1,0,0,1710434084,广东
这就有点让人嫉妒了,1,0,0,1710434058,辽宁
,1,0,0,1710434027,河南
马斯克的底色是一个风险投资人PayPal特斯拉OpenAI马斯克都是以投资人入局的PayPal被马斯克卖了赶走创始人，掌管了特斯拉发展理念分歧，退出了OpenAI投资人的思维方式，是算风险收益比一件事风险是2，收益是4，那就干只要收益够大就敢冒险，为大胆的想法买单星舰一次次失败马斯克并不怕，因为一旦成功后收益巨大。正因为如此，马斯克能把疯狂的想法变成现实，收获巨大的收益和声誉。再把赚来的钱，梭哈进下一个疯狂的想法。当然随时伴随着失败，就比如这次星舰，一次次放大烟花，直到成功或不能承受。,1,0,0,1710433914,北京
二级再入的画面不比电影好看？,-1,0,0,1710433780,山东
恭喜星舰，果然实践是检验真理的唯一标准，证明了一切反动派都是纸老虎！,1,0,0,1710433767,浙江
笑死了自己全程直播还引用人家报道直播主持人年年都这两个赞美之词溢于言表这次虽然丢了但还是成功的，伟大，赢嘛了,1,0,3,1710433742,广西
爱国大v真急了,0,0,5,1710433636,上海
那句万幸科技和文明………最近几年成了回旋镖了,-1,0,0,1710433608,河南
很好奇，隔热瓦能否搞大片一点？按照现在技术，按照弧度加工完全没问题，大片点可以更加牢固，也更加容易施工。降低成本。,-1,0,0,1710433457,广东
SpaceX 星舰 3 月 14 日晚将进行第三次试飞，马斯克晒出最新现场图，哪些信息值得关注？,1,0,0,1710433418,上海
牛掰 人类之光 神,1,0,0,1710433269,湖北
这下神十还能摸吗？压力拉满了,1,0,0,1710433236,未知
放几张第二次发射的图吧。美爆了！,1,2,4,1710433118,安徽
和前两次一样，试射基本绝对肯定地成功了！这是无疑是人类文明的一大步。但dogecoin没有暴涨,-1,0,1,1710433105,广东
可以说取得了不错的成绩，人类离星辰大海更进一步。每次spacex发射网友观点都两极分化。其实我觉得此时此刻引用毛主席的《论持久战》中的话最为贴合：“抗战十个月以来，一切经验都证明下述两种观点的不对：一种是中国必亡论，一种是中国速胜论。前者产生妥协倾向，后者产生轻敌倾向。他们看问题的方法都是主观的和片面的，一句话，非科学的。”美国毕竟是蓝星最强的发达国家，拥有西方自然科学积累数百年的基础，在政治、经济、科技、军事、金融、教育等各个维度都是一枝独秀。我们还是发展中国家，认清现实差距，我们不可能短时间就超过美国，也不会因为美国的打压就失去复兴的机会，继续加油吧！,1,1,0,1710433055,上海
继续期待关注，就像当初期待猎鹰一样。,0,0,1,1710433000,河南
每次试飞都能前进一步，感觉不太符合真正的科技进步的步调，我感觉最后会出现某些缺点重复出现，最后会证实这条科技道路行不通。,-1,0,2,1710432928,广东
要是把贵州山沟沟里修八车道高速的钱用来航天研发，以中国的工业产业链和工程师的聪明才智何愁造不出星舰。可惜现在说这个有点晚了，连优等生万科都爆雷了。也不晚，毕竟今年贵州依然开工了总投资3000亿的“重大项目”，钱总归是有的。,1,0,3,1710432914,广东
丧事喜办,-1,0,2,1710432905,河北
虽然不圆满，但没人会怀疑星舰最终会成功了吧。最次最次，也是可以作为一次性火箭的。,-1,0,3,1710432852,安徽
"都是美联储的阴谋罢了，我们只要时刻牢记""美联储＋石油美元＋金融镰刀""万能公式，我们就能时刻赢赢赢。",-1,0,7,1710432814,上海
如果星舰真能在2030年以前往火星上发射一点可以用的载荷，那不管星舰能不能从火星上自主返回，都算是为了人类真正进入太空做了很大贡献，那马斯克是真正的人类之光。当然，如果在未来10年星舰别的没干只和马斯克之前几年一样往Leo丢垃圾占据轨道资源影响天文观测，那马斯克也不过是一个普通的资本家罢了。,-1,1,0,1710432757,北京
这是第一次看到直播再入的镜头吧？26729千米每小时在印度洋上空，给了高清到能看见隔热瓦的直播。这个试飞是星链的广告。。。,0,0,73,1710432606,美国
做到发射过程中视频直播是真的牛。,-1,0,1,1710432446,北京
成了就是成了 没成就是没成 真没空看你们在那玩拐弯抹角的文字游戏,1,1,0,1710432433,湖北
太震撼了，这是我第一次完整的看到再入时的等离子体，太离谱了起飞全部引擎点火成功分离二级全部点火成功，一级成功完成再入前点火一级landing burn点火失败只点着一台，一级以1100m/h的速度砸向海面，这个速度大约等于客机巡航速度二级成功关机，进入远地点300km？近地点50km的亚轨道二级进行推进剂释放，推进剂转移实验，舱门开启实验后，似乎取消了再入前点火，直接进入卡门线，最后在65km高度失联更新，回看直播，二级再入时的姿态似乎并不正确，starship再入时候的隔热大底应该和速度方向接近垂直，从画面来看，starship当时似乎在翻滚再往前回看，星舰在进入太空后有很长一段时间似乎都在不受控的翻滚，这也导致了直播过程中视频信号时断时续所以二级没有撑过再入的原因可能是冷气rcs系统在气动力还不足以形成足够的控制力矩的时候压根没工作，导致姿态失控受不了了，ksp，启动！,-1,1,8,1710432419,浙江
SpaceX的“星舰”火箭在第三次试飞中，成功达到了环绕地球的速度。然而，在重返大气层的过程中，该任务出现了问题，导致信号丢失，使得任务提前结束。以下是这次试飞中的一些看点：1. 速度突破：这次发射使“星舰”火箭首次达到环绕地球的速度，这是其设计目标之一。这意味着未来可能有望实现更快速、低成本的太空旅行。2. 技术挑战：在重返大气层过程中失去信号，表明“星舰”火箭仍面临一定的技术挑战。这次失败为未来的改进和优化提供了宝贵的经验。3. 商业前景：虽然本次试飞未能达到预期的目标，但考虑到SpaceX已经取得了显著的进展，以及其雄心勃勃的计划，未来仍有望实现大规模商业化运作。4. 对其他太空探索的影响：SpaceX的成功将对其他太空探索公司产生影响，可能会促使它们加大投资，以提高自己的技术水平和竞争力。5. 国际竞争：美国和其他国家之间的太空竞赛仍在继续，SpaceX的发展将对全球太空探索格局产生影响。,0,0,0,1710432370,湖北
热搜这么快没了？？？？？,1,0,5,1710432301,未知
三次试飞成功，主线任务成功，虽然，它不完美，但是，足以粉碎各种花式诅咒。啥？马斯克大嘴？大嘴咋说啥啥能实现，说啥啥能成功？,1,1,12,1710432289,北京
省流版：发射成功，回收失败。成功了，但没有完全成功。,1,2,8,1710432211,广东
我好气！为什么我们总是落在老美后面？为什么我们不敢去做这种开创性的东西？真是值得反思。但是回过头一想，只要星舰不用于军事，我会祝贺他成功！,1,1,0,1710432100,湖南
牛逼闪闪！这是要推开太空革命的大门了吧！马斯克肯定会载入史册！当代爱迪生！,-1,0,1,1710432095,福建
从7点半然后到八点半，最后守到9点半才开始，是总什么体验？是SpaceX的一小步，也是人类的一大步。相信人类在浩渺的宇宙中并不孤独,1,0,1,1710432022,江苏
大进步，马克思确实伟大，不过抖音一群大侄子对国内冷嘲热讽就很搞笑。另外，按照这个进度我应该是看不到人类移民太空了。,-1,0,1,1710431952,浙江
华为能不能搞火箭？其他家我不放心，天兵科技和蓝箭航天虽然也在追赶，但我真的感觉太慢了，融资能力也不行…简单点说，市场对中国民营航天还是没有那么大信心去注资。我知道这不是华为的本业，但要想快速追赶spacex我不知道还有哪家企业有这个能力。SPACEX领先实在让人绝望，太夸张了这迭代速度。接下来只要不断的流水线生产人类的太空载荷价格将会低到一个难以想象的程度。我们不能落后了。,0,2,0,1710431885,海南
感谢华为开源 ,-1,0,0,1710431843,未知
宇宙大航海的时代来临了。有生之年内，人类成为多星球物种的可能性大大提高。刚看完星舰飞行测试-3的现场直播，目前看来，星舰整体的技术路线是没有问题的。本次测试几乎完成所有测试目标。剩下的就是调整可靠性，以及本次测试中暴露出来的各种问题。星舰最大的诟病，在于多发并联，目前从测试-2，测试-3的实际结果来看，多发并联一点问题都没有。我们经过60多年的技术迭代，当前的自动控制水平以及可以轻松拿捏，N-1的悲剧已经是过去式了。超重助推再入点火部分失败，这也是最后终端速率超过1100km/h砸到海面上。超大质量物体的控制率目前看来还是有不小的问题的，我估计还是一系列的复杂机动导致了一些没有预料到的问题以至于点火失败。星舰-28入轨成功。这是个重要的里程碑，本来是希望测试-2中达到的目标，但是由于星舰分离后不久LOS，导致无法实现。星舰-28几乎完成了所有的测试项目。测试-3中暴露出来的问题都是以前没有遇到过的。高超声速下系统控制问题，超音速，跨音速控制问题，这些东西不实际测试很难发现问题所在。另外从实时传输的视频流中可以看出来，星舰的隔热瓦损失的厉害，大量残片脱落。隔热瓦损失一直都是个难题，航天飞机上也遇到过类似的问题，所以星舰最后就是靠着舰体不锈钢硬抗，最后解体。好在隔热瓦本身有解决方案，就是比较贵，估计马斯克又得整点很活。至于高超声速，超声速控制率的问题，这个只能靠实际测试来解决，我们对于大质量物体在这个领域的摸索很低，SpaceX 几乎没有什么经验可以借鉴，除了航天飞机，但是两者的再入包线没什么可比性，可参考价值也不高。我估计星舰整体在测试6，测试7之后，才能达到稳定的状态。但是正如开片所说，基本的技术结构式没有问题的，是可行的。以上。图片欣赏，星舰与大气高速摩擦产生的等离子体,1,4,17,1710431826,美国
我只看知乎多久就有热榜了，相比Bushnell的石沉大海，我相信这个APP的屁股已经是歪的了。建议有关部门详查,-1,1,1,1710431806,江西
N1吃了算力的亏。希望长九快点首飞吧,-1,0,0,1710431782,美国
祝贺马斯克，人类科技的进步。但也为未来中美争霸感到担忧，以后搞太空军备，是不是处处晚于老美。,-1,1,0,1710431738,湖南
作为科幻迷和向往星空的普通人，看到人类宇航技术的积极进步心里当然是开心的。不过根据此前的经验，我倒觉得接下来最大的看点当然还是即将在各大社交平台上开展的阴阳怪气大挑战。,1,0,0,1710431689,未知
摄影棚拍的有啥好看的，只能说火箭丢失了，毕竟本来就不存在。一群1450，蜥蜴人，火星人。。。后面是什么忘了。等mask登陆火星了你们就知道火星人的嘤某啦,-1,1,1,1710431572,陕西
就这？不如造奇观搞基建卖鸽子笼来钱快,1,0,3,1710431527,广东
SpaceX将会是米帝未来真正的核心竞争力。40年前他们用星球大战忽悠了毛子。今天他们试图用一个聊天机器人再忽悠一次。但是星球大战倒是真的了。星链，星舰看上去人畜无害，星辰大海。但是，这将是他们真正的武器。火星什么的，也就说说，别当真。SpaceX的星舰-不为火星移民，是太空战舰 - Zhang Bill的文章 - 知乎Zhang Bill：SpaceX的星舰-不为火星移民，是太空战舰人类有希望走出银河系吗? - Zhang Bill的回答 - 知乎人类有希望走出银河系吗?,1,6,3,1710431518,北京
月薪3000党突然消失了,-1,0,0,1710431515,广东
如果是以前的话，这是一个辉煌的成果，但是现在没时间了。,-1,0,0,1710431505,贵州
最大的看点：马斯克是否懂得感恩，永乐大典的恩情永远也还不完！,-1,0,0,1710431502,未知
"看点很多，这次发射测速对预期目标来说是一次胜利，但是疑似也暴露了一些问题。之前第二飞时，写过一篇回答，那次可以说勉强够及格线。而这次则进步明显，从测速目标来看，只是满分与优良的区别。SpaceX 星舰火箭第二次发射升空，这一次飞行与预期目标相差多远？有哪些需要注意的问题？官网上对于这次任务，增加的目标包括：1. the successful ascent burn of both stages；2. opening and closing Starship’s payload door；3. a propellant transfer demonstration during the upper stage’s coast phase;4. the first ever re-light of a Raptor engine while in space;5. a controlled reentry of Starship.Starship’s second flight test achieved a number of major milestones and provided invaluable data to continue rapidly developing Starship. Each of these flight tests continue to be just that: a test. They aren’t occurring in a lab or on a test stand, but are putting flight hardware in a flight environment to maximize learning.The third flight test aims to build on what we’ve learned from previous flights while attempting a number of ambitious objectives, including the successful ascent burn of both stages, opening and closing Starship’s payload door, a propellant transfer demonstration during the upper stage’s coast phase, the first ever re-light of a Raptor engine while in space, and a controlled reentry of Starship. It will also fly a new trajectory, with Starship targeted to splashdown in the Indian Ocean. This new flight path enables us to attempt new techniques like in-space engine burns while maximizing public safety.截止到回答时，Starship受控再入溅落还未出结果，前面的任务，可以说基本完成。唯一美中不足的就是Booster landing，而也正是这个不完美的表现，个人观点来看，疑似揭示了这一任务，未来可能要头疼很久。从视频可以看出，热分离之后，一切都很完美，正向预期发展，甚至网格鳍刚开始运作，转动的时候，挺振奋人心的。离海平面50KM时，按大气层垂直分层结构，刚进入平流层，以3700KM/H的速度加速自由落体，正是这个节点，网格鳍开始运作，网格鳍的设计目的是利用气动外形调整Booster姿态。Exosphere: 700 to 10,000 km (440 to 6,200 miles)[20]Thermosphere: 80 to 700 km (50 to 440 miles)[21]Mesosphere: 50 to 80 km (31 to 50 miles)Stratosphere: 12 to 50 km (7 to 31 miles)平流层Troposphere: 0 to 12 km (0 to 7 miles)[22]对流层但后续，其气动效应对Booster的控制影响的表现，以我浅薄的认识来看，并不理想。因为格栅舵调整了很久，平流层都快结束了，姿态的调整并不成功，仅是""摇摆""了一下。10KM的时候，已经进入对流层了，姿态不仅没有向竖直调整，甚至更歪了，网格鳍的摇摆速度开始加快，但是仍然没起到应有的效果。离地5KM之内时，穿越云层，网鸽鳍开始剧烈摆动，但直到再点火，姿态同样不理想。而助推的姿态真正开始出现明显调整时，可以看到是零星的引擎二次点火的功劳。除了网格鳍，Bootser的再点火减速也出问题了。助推器直接以1000KM/H的速度拍到了海面上，有两个问题，一个是剩余燃料本身就不够，第二个是引擎点火并不成功。所以这次助推器软着陆的表现给""利用网格鳍+栅格舵的气动作用来微调姿态，实现回收前准备，节约燃料，再利用引擎减速到悬停，用大筷子接住""的思路打了一个较大的问号，若是网格鳍的气动效果不理想，这就意味着回收策略上需要一次不小的调整，助推返回时可能要再多趴一段时间，亦或者在助推的气动外形上做一些调整，或者对燃料重新调整分配等等，总之应该会有不小的迭代跨度。当然，这是在前两次测试中都没有发现的，毕竟这是第一次一个几乎完好无损的Bootser返回到海平面。",-1,4,8,1710431369,江苏
虽然最终失败了，但明显是在不断进步中但一批人也不要丧事喜办了，结果毕竟还是失败美国的私人航天除了马斯克，全部都很烂但有一个就够了,-1,7,10,1710431317,未知
跟人赌了20块这次还是会爆炸，现在有没有人解个惑失联后到底是空中爆炸自毁还是没爆炸直接砸进海里了。,0,0,0,1710431314,上海
环绕速度不是7.9吗。这个到了7.2没到7.9吧,-1,0,0,1710431300,辽宁
还好失败了，要是成功了说明工程管理学理论严重跟不上现实。今天要是发射成功什么概念，它可以把天宫完整体一次性发射上去。而且还可以反复不断发射，一年能发射好几个。太恐怖了，全世界的航空航天局原地起立，好好看好好学。还好现在太空中没有多少资源。,1,1,1,1710431278,浙江
星舰试飞成功，没有网络上一众小丑粉墨登场，群魔乱舞来得热闹有趣刚看到的随手截图，B站更多，微博很久不用不清楚,-1,0,12,1710431180,江苏
有点牛逼。恐怕再打两发就会真正成功。,1,7,31,1710431174,广西
很多人没有搞清楚，我国是发展中国家，美国是世界上最大的发达国家，我国现阶段的任务并不是要与美国全方位争霸，美国有领域领先我们不是很正常吗，把有限的资金投入到可靠低风险有收益的领域才是现今应该做的，走自己的路，什么概念都跟岂不是陷入了新时代星球大战？迟早被拖垮，换句话说等到星舰被验证成功，我们再迎头赶上又有什么不可，要是生在七十年代国家什么都没有差距更大，是不是有些人已经急死了,-1,7,0,1710431110,江苏
这次几乎完成所有测试任务，强烈推荐大家去看看测试视频。Space X的拍摄团队非常专业，通过屏幕看都有被吓到，尤其那个大烟花，震撼人心。视频链接：SpaceX视频链接：SpaceX这次任务一些视频截图：,1,1,6,1710431028,美国
摸着自家火箭的残骸过河，虽说代价比较大，也算是苦尽甘来。,1,1,0,1710431006,北京
马斯克，民科赢！敢用不锈钢露天焊接舰体，这钢材说不得还不如我家的炒菜锅，也只有民科敢干。比尔盖茨、乔布斯、马斯克、山姆奥特曼，引领美国科技创新潮流的四大民科，四人每人学一年物理，加起来四年大学本科毕业。低垂的果子又被民科摘了。,0,0,1,1710430909,上海
挺好，我觉得这不管对于人类还是中国来说都不算坏事，摸着石头过河嘛，不怕石头多，就怕没得摸，现在科技尖端在美国，产能在东大，有的摸就可以慢慢来，和美国还有十年左右差距，不小也不大，抗日战争急不得。,1,1,1,1710430866,辽宁
牛逼牛逼，留个影~~~,0,0,1,1710430833,上海
按照星舰目前的进度，应该能达成：三年回收，五年登月，十年登火。未来人类几十年的火箭技术发展路线就是并联。在这里憧憬一下火箭技术的摩尔定律：每五年引擎并联数翻一番，引擎成本和发射成本下降一半。,1,2,2,1710430743,美国
