SpaceX「星舰」第三次试飞，达到环绕速度，重返大气层过程中失去信号，任务提前结束，有哪些看点？,gender,comments,likes,updated_time,IP
我觉得有必要把太空垃圾回收的研究提上日程,1,0,0,1710430741,上海
星舰迟早要成功地！真是有点羡慕美帝，咱们的大火箭什么时候好啊，真的是有点羡慕美帝！其实，咱们国家应该加大力度在大火箭这些航天上！现在搞一带一路，我们能用大火箭直接登月，这是一带一路最大的宣传！不然中国用中等火箭登月，人家也还会说你用的不是大火箭！不是可回收利用火箭！如果使用大火箭登月一步到位！那简直就是一带一路最大的宣传！欧美再怎么丑化咱们，也没有用，毕竟大火箭登月摆在那里！真理摆在那！并且现在是信息时代，中国使用大火箭登月，在心理层面上将震撼到世界上每一个国家每一个人！这比什么宣传都要好！,0,0,0,1710430716,新疆
很多人还不明白，都是发射火箭，为啥吹星舰？因为杀头的生意有人做，亏本的的买卖没人做。郑和下西洋到处撒钱，船再高大也不过昙花一现。荷兰船队活着回来就赚的盆满钵满，开启轰轰烈烈的大航海时代。星舰之前，人类火箭打上去太空花费的成本超过同等重量的黄金。星舰之后，上太空成本一斤只用几百块钱，相当于同等重量好点的水果牛肉。成本的降低，让去太空成为了一门可以赚钱的生意。各种企业工厂和资本都会去太空想方设法的开展新业务。中产阶级花几十万可以举办太空婚礼，同样几十万你在地面上办婚礼可办不出什么花，无非酒喝茅台烟换中华。过去美国登月，就像郑和下西洋，昙花一现。星舰则让太空成为一门赚钱的生意。在金钱的助推下，人可以办到很多想都不敢想的事，所以你想想，未来几十年人类会在太空中折腾多少幺蛾子。那才是科幻电影里的太空时代。,1,1,29,1710430356,山东
疯狂降热度，也不知道在怕啥,1,3,4,1710430300,广东
马斯克粉丧事喜办的能力真强，所以2024年了，星舰才刚刚能脱离地球，不是说今年要载人登陆火星吗？还有9个月，加油啊,-1,3,3,1710430212,北京
我有个朋友，中专上了一半因为打群架被劝退了。现在我明白了，他不是被劝退，而是学业提前结束，我应该在他QQ空间，祝贺他已达到中专分数线。,1,3,22,1710430149,广东
如果詹姆斯韦伯望远镜多鸽两年是不是就能打个大好几倍的上去了？,1,2,6,1710430122,云南
我之前说星舰不可能短时间成功的回答突然一群人回复，就猜到了可能有什么突破……真不幸,1,0,0,1710430066,河北
恭喜马斯克，很多人忽略了一点，马斯克和SpaceX已经把全球最强运载火箭之名再次从波音手里夺了回来。星舰此次发射作为运载火箭实质上已经发射成功，只是因为SpaceX拥有领先的运载火箭回收技术，所以大家特别关注SpaceX的运载火箭回收状况。不过运载火箭首要的任务是执行发射任务，本次发射站在此视角是极为成功的，这包括一二级分离直至星舰打开舱门模拟释放载荷并关闭（中间一度以为舱门关闭不紧，结果是虚惊一场）。星舰此次发射截至目前的不完美分别是超重一级疑似落地减速有问题同时星舰返回地球信号丢失疑似毁坏，但是这些都不妨碍火箭本身一次性使用的巨大成功，运载火箭的运力评价和是否回收无关。本次发射SpaceX展现了一种在工程中难能可贵的增量稳定性，什么意思呢？就好像一个程序员写程序，可以增量编译也可以全量编译，增量编译就好比你在装有100毫升红酒的杯子里再倒上20毫升变为120毫升，全量编译则有倒上20毫升但是漏掉额外5毫升的问题最终是115毫升。在工程项目中增量稳定性非常难得，星舰的三次发射，每一次的进步是增量的，同时完全没有出现过去明明已经成功的后来错误，或者简单理解为没有出现过去相对成熟模块的问题。很多人好奇为什么有的时候国内航天发射失败我们会鼓励，为什么有时候国内发射失败我们会持批评的态度？这就看发射失败的任务，技术创新的内容有多少？如果是突破性的创新诸如我国几个民营航天企业寻求液体火箭的突破尤其是挑战液氧甲烷，即使失败大家自然报以掌声，如果是资金充足且技术成熟的模块整装还能出问题，那自然收获的批评之声远比前者多。这次发射另一大亮点就是星舰安装的两个星链天线，在直播的过程中信号整体保持极佳的稳定性，说实话仅仅是一个直播间就有数百万人在线观看，SpaceX真的在发射观赏性这方面建设的没得说。预计本年度马斯克还会发射4-5次星舰，事实上SpaceX目前下饺子式量产已经足够支撑起接下来的8-9次发射，不排除下一次就会带上星链V3的载荷，这一次的发射成绩应该会极大的收获NASA乃至美国各方的肯定，FAA方面应该会提供更多的方便，坐等下一次咯。,1,11,154,1710430064,江苏
X自己不敢说大话成功，小子们直接贷款啊啊啊明明连最终目标PPT的程度都不到，每次大侄子都能找到角度开吹，翻来覆去的舔，马斯克都嫌恶心了，还一个劲的认父，是真的—。,1,1,4,1710429998,未知
特斯拉这么久没出新车，股价跌成那样，营收增速也放缓。马一龙绝对拿着特斯拉的钱买推特和做大火箭放烟花了。,-1,1,3,1710429974,吉林
不对吧，记得去年知乎的风向还是群嘲啊，这会知友们都在找补了？,0,1,4,1710429958,加拿大
你可能无法相信。但这次是真的人类之光。,-1,0,7,1710429927,广东
即使把这样试错来进行快速迭代的方法给你了，中国目前缺乏尝试的勇气与动力。很多时候“祖宗之法不可变”听起来可笑，但是却实实在在地发生在国有的企业里。,-1,2,3,1710429859,湖北
第三次发射完，对于我来说，已经可以盖棺定论了，这火箭可以说已经成功了，后面只是完善回收技术的过程罢了。我看看老马下一波敢不敢直接上星链载荷，要是真上了，概念股估计得来一波了。,1,3,10,1710429829,广东
看标题还以为失败了呢,1,0,4,1710429753,广东
美国制造业只能靠马斯克了。,-1,0,1,1710429643,上海
总的来说确实有进步但是，打个比方，上火星好比要赚一个小目标，那么现在相当于简历都没写完。星舰猎鹰整体思路就像强行用蒸汽机造高铁，有种上世纪飞艇一样那种科技树点歪了的美,1,1,0,1710429561,广西
人类之光，每次都是实打实的进步。每次看这种人类向太空前进的新闻都会想到《三体》，人类成为星际种族。前进四！,1,0,1,1710429548,上海
进步巨大，距离完全成功只有一步之遥了。头次看到这么清晰的再入画面。听解说是利用了星链，猜测是数据上行到星链再从星链传回地面，这样就避开了舰体下方等离子体屏蔽信号的问题，同时带宽大支持高清实时画面。剩下的问题：一级失控高速砸到海面上。星舰再入阶段进入黑障后失联了。第二个问题比较困难，不过预计再来一到两次发射试验也就能完全解决了。然后就可以上载荷了。星舰解体的问题，虽然有隔热瓦脱落但只是个别的，以前有过隔热瓦脱落靠不锈钢撑下来的案件，这方面可能性不大。目前看姿态没保持住的可能性大。以往再入航天器除了航天飞机可利用气动外形，都要频繁使用RCS保持姿态，但从直播视角看，没有发现RCS的喷流。等有回放再研究吧。,-1,11,16,1710429502,北京
快速回顾前两次试飞。2023年4月20号，starship进行了第一次试飞。此次试飞打破了苏联保持了半个世纪的纪录，是当时最强大的火箭。火箭起飞时损坏了发射台及其周围的基础设施，并且有些残骸散落在博卡奇卡州立公园。在飞行过程中，三台发动机未能启动，还有其他几台在飞行中失效。由于缺乏推力矢量控制，火箭在进入超音速飞行后，未尝试进行分离，而是失去了控制，最终被摧毁。2023年11月18日，星舰刚刚进行了第二次试飞。本次试飞实现了发射台无损且承受了1600w磅的推力，热分离，149km的试飞高度。由于热分离以后，Starship并未按计划飞行，最终，SpaceX被迫摧毁Starship，以免其偏离轨道。热分离2024年3月14日，第三次试飞有四个主要看点。看点一：助推器能否在海上自主且受控着陆在第二次试飞的时候，大家看到，助推器在和飞船完成热分离以后，很快发生了爆炸。这次试飞助推器能否完成自主可控的回收是关注的重点。如果一起顺利的话，在发射近三分钟后，超重型助推器将燃烧掉大部分燃料，并脱离星际飞船，然后，助推器将在海上完成自主受控着陆，而星际飞船则使用自己的发动机继续推进。第二次发射，助推器发生爆炸的瞬间看点二：星舰飞船在印度洋硬着陆星舰这次飞行的目标并不是真正进入轨道，而是，飞船将在印度洋硬着陆，着陆点大概距离最近的陆地超过 370 公里。看点三：推进剂转移演示SpaceX 还将进行“推进剂转移演示”，其目标是将星舰飞船上的一些推进剂从一个储罐转移到另一个储罐，该演示是为了飞船在轨道上运行时如何在未来的任务中补充燃料做准备。看点四：舱门半开星际飞船在进入滑行阶段时，会尝试使一个舱口半开，以便太空舱在未来的任务中将卫星部署到太空中。星舰此时直播画面最后，今天的天气并不完美，SpaceX今天说正在密切关注风向，预计天气条件有大约70%的可能性足以起飞。另外，根据SpaceX周三的消息，发射可能在110分钟的窗口内随时进行，该窗口将于美国中部时间周四上午8：50。期待星舰第三次试飞！祝好！看发射直播中：首先星舰飞船再次实现了热分离，分离后的飞船达到了轨道速度，大概27000千米/小时。其次，助推器最后虽然没有完成回收，最后还是在在海中坠毁，下图可以看到降落前的速度1000多km/h，过快，且不稳定。但是相比较第二次发射，前进了一大步，视频里已经看到海了。最后，在星舰飞船滑行阶段，实现了有效载荷门半开，以便太空舱在未来的任务中将卫星部署到太空中。Pez舱门关闭下一步期待 星舰飞船的重新点火，并且在海中溅落。星舰飞船进入大气层，准备在海中溅落。,1,16,41,1710429499,北京
感谢凤凰卫视，这次能看到直播。感谢有关部门，允许我们看到直播，见证人类星际旅行到来的时刻。首先，我认为，星舰1.0版本已经彻底成功。不差钱的大佬可以和空X签约发射合同，太空旅游，太空工厂，太空实验室，太空生产，太空生活的时代已经开启。别等马斯克的可回收报价了，第一个吃螃蟹的才是狠人。真空环境，微重力环境的无人工厂，可以开始研发，设计，考虑搬到太空了。其次，可回收测试基本失败了。当然，这不是最重要的，可以慢慢来。我很担心马斯克那个疯狂的筷子技术，能不能修炼到他想象的样子。想想就可怕，那么大的家伙，要稳稳地落下，夹住，精度如果超过1米是难以想象的。太疯狂了！最后，产生一个更可怕的联想，如果有人想造一个150吨的超大胖墩，丢到莫斯科，那莫斯科还会存在吗？,0,1,4,1710429421,湖北
SpaceX让人感到不可思议的永远是他的迭代能力和成本控制。测试间隔时间一次比一次短，每次都比上一次有本质上的飞跃提升，这种成果和数据不断叠加之下的能力，移民火星看起来已不是什么难事。期待中国航天也加加速吧。,-1,0,3,1710429389,黑龙江
我一向觉得这种传统火箭式的运载工具很快就会淘汰，就像新能源淘汰燃油车一样,1,0,0,1710429360,广东
帅，马斯克无愧于他的名声美国要是真的再次崛起，不会是从特朗普，而是从马斯克，全世界有钱人多的是，但是没有任何一个有钱人，敢于像马斯克一样，在看不清前路的时候，在黑暗中大踏步开辟前路，无论是电车，可回收火箭，还是现在的“宇宙飞船”。也许有些人跟风某些赛道后，做的比马斯克还要好，甚至在某个赛道超越了马斯克，但所有人心里都有数，开辟者-无与伦比。毫无疑问，马斯克超越了国家的限定，厌恶美国，但不妨碍给马斯克点赞，这是马斯克应得的。,-1,0,7,1710429359,上海
事实证明，别人又一次走在了我们的前头。或者说，别人一直在前头，而且还不断的再向前走。我们总说要弯道超车，要自我创新，要世界一流，但貌似依然举步维艰，科技进步远远不是我们想象的那么简单。简单的从一次性发射角度，这次的星舰的任务可谓是十分完美，虽然回收的实验并没有成功，但对于已经拥有回收成功经验的马斯克团队来说，总算有了可以1+1客观基础。此次发射任务完成之后，我相信马斯克团队肯定收获了巨多的相关实验数据，对星舰的完善也有了更明确的目标，可以肯定的说，可回收火箭的实际运用已经是可以预料的了。对于人类进程来说，马斯克团队开辟了全新的道路，并一直在向前探索，这是人类共同的财富。对于中国航天来说，这也是我们可以借鉴的新技术新方法。不论如何，踏进每一脚未知的一小步，都将汇成人类进步的一大步。,1,0,5,1710429346,河南
愣着干嘛，遥测部门赶紧找啊！海事部门赶紧动啊！这些领导还在睡觉？？那可是33台猛禽！,1,1,0,1710429271,未知
挺好的，美国通过NASA把这笔钱投资给星舰，无论成功与否，也算是对人类有益。这样落在巴勒斯坦人的头上的炮弹就会少一些,-1,0,1,1710429243,广东
中国航天加油，这个课题里可以出好几个院士。那边看着Tiktok被美国议会要强抢，感觉美帝国真是药丸了，堂堂资本主义帝国人才济济，竟然开发不出一款能够超越Tiktok的软件，在市场竞争下完全比不过中国算法工程师。更让人吃惊的是居然可以如此耍赖，帝国的制度自信哪里去了？让一众仰慕灯塔的信众何去何从？这边看着星舰和OpenAI的成功，感觉还是老美科技实力雄厚，能够继续引领人类的科技进步。只是这先进科技能否还能维持老美的霸权？有点担忧中美如果起了冲突，美国会不会还有什么杀手锏？还是希望老美能够和老中斗而不破，良性竞争，展望星辰大海，为人类开疆拓土。,1,2,7,1710429242,广东
未来，应该是星辰大海！我们的科技公司，加油跟上吧！,1,0,0,1710429234,广东
发射准备流程优化过了，50分钟搞定。考虑到这是人类历史上最大的火箭，这个速度瞠目结舌。发射决心很大，老板不在不要紧，天气预报不佳也不要紧。熟悉SpaceX直播的都知道，F9发射经常顶着30%的天气放行概率准备。但F9是成熟的中型火箭，和Starship完全不是一个概念。说实话直到最后一分钟我都以为要鸽掉了。上升过程完美，应该说作为一次性火箭已经基本成熟了。一级返场点火问题解决。二级成功进入预定轨道，速度距第一宇宙速度就差一点，基本可以认为正式入轨是没什么问题的。燃料转移的demo测试完成，这对于下一步轨道加油至关重要。一级和二级最后的姿态控制都出了问题，这个是下一次发射需要解决的。感觉一级回收离成功不远了，最后就只差了一口气。二级再入时的等离子体流画面非常漂亮，应该是历史上第一次这么全面展示。之前只能由宇航员在飞行器里面拍舷窗外的一点点等离子体。星链的又一个免费广告。【SpaceX星舰28再入大气的过程-哔哩哔哩】 https://b23.tv/VpidiqH,1,14,211,1710429035,上海
.,1,0,1,1710428941,江苏
,0,1,4,1710428913,陕西
看到再入大气层尾翼的电离层，感受到什么叫血液沸腾的感觉！,0,0,19,1710428899,广东
星舰主打可重复使用，但这次一二级回收均失败，这还是在没有载荷的情况下，回收成功还很遥远，即使成功后，33台二手猛禽的可靠性也会极大的降低。,1,3,5,1710428898,河南
即使个人十分讨厌马斯克的营销及TSL粉丝，但看到spaceX的进步还是感到很高兴，希望早日成功！,-1,3,4,1710428869,山东
美国迟早要完，但可能不是现在,1,2,1,1710428847,黑龙江
这才是真正的遥遥领先！承认差距正视短板我们要走的路还很长。,1,8,9,1710428839,新疆
进步很大，但离最终目标还有一定距离，当然迭代快是一个巨大优势。,1,0,1,1710428806,未知
目前来看很多月薪三千的网评员很急（哦忘了 劳动法下他们还没有三千底薪）让老美展示一下什么叫先进生产力啊（仰头）本次载人航天按照月薪三千网络乞丐的说法，完美验证了幽默老钟的路线是失败的老钟啊，别再照抄作业了。你看看再抄就要变60分了（悲）,-1,0,17,1710428793,未知
进入近地轨道  ✔一二级火箭分离  ✔太空加注燃料  ✔太空采集数据  ✔助推火箭软着陆  ✘星舰进入黑障之后预计3分钟与地面通信或者星链继续通信  ✘  （确认黑障之后失联）整体来看基本符合马斯克说的70%的预期。这个迭代速度实实在在的恐怖，希望咱们国家的航空事业务实效率一些，让科研回归纯粹，剥离政治属性，最快的进步就是从失败中总结经验，而不是地上做几年论证就为了一次成功发射，啥时候领导能明白时间不在我们这边啊！！！迭代！迭代！不择手段的迭代！！！,1,2,14,1710428679,江苏
这东西现在已经是人类历史上最大的重型火箭了，超越了土星五号，SLS，能源号，还有那个仅存于模糊影像里的传说中的苏联上古神器N1…当然，因为不是正式任务，没法验证150吨的LEO，毕竟这次没放水泥载重，还有一个，这玩意几乎全程4K直播，甚至再入大气层时的高温等离子体都是1080P的，没有天上的那几千个卫星是做不到的。如果这是一个传统的重型火箭项目，已经成功了，至少是可用的状态，一发几个亿看着挺贵，但想想150吨的载荷…似乎挺值得？空军想用的话，塞几十个LRASM或者JASSM当个一次性太空版速龙运输机也不亏…至于回收，慢慢来吧，应该还有两三次飞行才能做完再点火和解决隔热方面的问题时代在发生,-1,1,76,1710428671,江苏
我的朋友圈已经有人在说遥遥领先了。还能怎么看，宏大叙事呗。摊手……,1,0,0,1710428659,云南
以前我都是看直播的，这次根本没看，因为大致猜到会是这样一个结果。然后马斯克一会肯定发推，祝贺spanceX团队在XXX上取得了成功，我们会继续努力！如果你是投资人你还会继续注资吗？,1,4,0,1710428576,北京
直播的回答写在另一个问题下面了。SpaceX 星舰 3 月 14 日晚将进行第三次试飞，马斯克晒出最新现场图，哪些信息值得关注？先简单整理一下时间线吧：20：25推进剂开始加注，箭在弦上，由于附近海域有船只需要驱离，发射时间延迟稍有延迟，预定发射时间为北京时间21：25。21：25一级发动机全部成功点火，星舰发射升空。21：30超重助推器的发动机熄火，一二级成功分离。21：34超重助推器成功溅落入海，姿态几乎垂直，但发动机没有正常点火，落海速度为1000km/h。这是一个问题点，等待后续调查结果吧。21：36星舰飞船发动机熄火，成功入轨，大厅响起了欢呼声。第二次试飞没能实现的目标完美达成了。22：15二级成功再入大气层，但是也有个小问题，姿态有些不太对，最终丢失了信号。这也是SpaceX的传统艺能了，解决老问题，发现新问题，留着下次再解决吧。本次发射主要有以下几个目标：一，星舰飞船入轨这是第二次试飞未能完成的任务，当时飞船距离成功入轨只剩几十秒的时间。因此，这次试飞的第一目标就是将星舰飞船成功送入轨道。这是正是老马发推庆祝的内容。二，模拟释放载荷之前两次的载荷舱门都是焊死的，这次飞船的载荷舱门将尝试打开，模拟释放星链卫星的过程（当然只有开舱门的动作，本次上天仍然只是验证，没有携带任何载荷）。三，飞船再入的实验这是本次最值得期待的两项之一，在大气层外，飞船将尝试二次点火，再入大气层。为此，星舰重新设计了隔热瓦的布局，溅落地点则从之前的夏威夷变成了印度洋海域，大大缩减了航程，也留出了足够的窗口时间验证点火。四，推进剂传输最值得期待的两项之二，就是万众瞩目的推进剂传输了。重10吨的液氧将从顶部的储存罐转移到底部的主储存罐中。这也是NASA的阿尔忒弥斯登月计划中的重要一环。鉴于目前登月已经被推迟到了2026年，再往后推就没面子了，留给星舰的测试时间已经非常有限。推进剂传输实验，将是SpaceX证明自己的一个重要机会。本次发射，可以说是100%达成了预定目标，同时也依然存在着一些问题，有待下次改进。这也正是星舰一次次迭代发射的意义所在。这次发射的星舰飞船是S28，但最新的星舰飞船已经建到S31了，也就是已经有三艘飞船原地待命中了。S31只花了一个月的时间就组装完成，未来建设速度还会进一步提升。老马表示，今年至少可以进行9次试飞，虽然FAA大概率不会放行，但2~3次发射还是稳稳的。如此恐怖的迭代速度，一次比一次更接近成功的试飞，这一幕幕是如此的似曾相识。即使已经过了那么多年，第一次看到猎鹰九的一级稳稳落在回收台上时的那种震撼，还记忆犹新。SpaceX可能真的可以再次创造历史吧。今天也是SpaceX成立22周年的纪念日。生日快乐，SpaceX。加油，星舰！,0,0,20,1710428571,辽宁
失败是成功之母,-1,0,0,1710428554,江苏
选择题，请问星舰还要发射几次才能成功！A0次 B1次C5次D无限次！,1,5,1,1710428421,未知
整个试验过程中，中控中心充斥着欢欣鼓舞的掌声和欢呼声经历过一小时的发射-飞行-入轨，第三次星舰终于交出了一份比较优秀的答卷此前，星舰已经完成了两次试飞2023年4月20日，首次试飞仅持续了四分钟便宣告失败2023年11月18日进行第二次试飞中，33台猛禽发动机成功完成了点火程序，并与星舰上级顺利分离，但星舰在进入卡门线后失联此次试飞在前两次试飞的基础上，完成了一二级分离、星舰坠毁式再入大气层等大部分任务，其他一些任务包括飞行器的推进剂转移演示、打开/关闭星舰有效载荷舱门、首次在太空中重新点火猛禽发动机等还有待官方公布一、推进剂转移演示：将位于星舰顶部的液氧舱中的一部分液氧转移到底部的液氧舱，该技术既可以保障星舰再入大气层过程的姿态稳定，也能够为后续登月中不同星舰个体间推进剂/燃料加注补充的技术验证；二、太空点火技术：在进入太空常规飞行阶段关闭星舰发动机，必要时（变轨、转向）重新点燃发动机的技术，意味着星舰在进入太空后，能够在其引擎熄火的情况下，重新启动引擎，进行二次或多次轨道调整或姿态控制，该技术能够减小燃料消耗，火箭控制更加精准。还有一些不完美之处，一级火箭33台猛禽发动机在回收过程中未按照既定程序全部点燃，估计是推力不够，由“软着陆”变成了“硬着陆”值得注意的是，完成星舰第三飞的同时，SpaceX还抱持更大野心，正在寻求FAA批准，推进今年发射9次星舰的激进计划这种高密度频繁发射可以提供一个新的视角去关注Space X的技术硬实力——猛禽发动机的产量来简单计算一下一台星舰有33猛禽发动机，不到一年时间，近百台猛禽发动机在三次试飞过程中燃烧成灰烬真的按马斯克的计划，今年开展9次星舰发射，将使用近300台猛禽发动机不管这些发动机是货架产品或者边用边造，SpaceX的猛禽产能是在是断层式的存在熟悉工业生产的人都知道这样流水线般的稳定性和可靠性是多么的可贵背后隐藏的工业能力可圈可点也许正是这种独特的工业变现能力，快速迭代能力，才成就了spaceX这类公司的成功也让人们看到了太空探索过程中的更多可能正如有人所说“spacex的伟大不在于科技多么黑多么先进，而在工程运用上的登峰造极”,1,6,19,1710428419,陕西
第一次起飞后不久爆炸第二次进入大气层熄火第三次返回大气层熄火第四次返回发射台爆炸（预测）第五次回收成功（预测）星舰发展速度有点快啊，很可能今年就能成功。马斯克虽然造车不咋地，但造火箭还是蛮厉害的，啥时候把火箭研射基地也搬来中国就好了，中国人民欢迎你。,1,3,0,1710428284,湖北
基本上算是成功了，因为最主要的发动机成功了剩下的问题以后测试收集数据都是可以解决的目前来看基本上可以确定以后火箭未来相当的一段时间的道路了，这种串联火箭发动机之前比目前单台潜力大多了估计还得几次测试才能上载重或者载人,-1,0,5,1710428204,安徽
一个化学能火箭，唉。,-1,11,0,1710428121,湖北
太美了！Starship in LEO姿态调整RCS姿态控制像看科幻片一样的再入大气层！开始和大气层摩擦剧烈的摩擦进入黑障再入失败成功了一半！期待下一次发射！,1,0,4,1710428102,上海
人类文明要进入新纪元了,-1,0,2,1710428073,北京
唯有感叹差距！技术从不认为是壁垒，重要的壁垒是思想和政策。谁会想给火箭做减法，谁会想着自己掏钱发火箭，这些都是思想和政策的壁垒。,1,1,1,1710428068,河北
上次达到预期说失败。这次超预期目标，说任务提前结束。不愧是新闻学。,-1,0,11,1710428031,浙江
本帖持续更新。（我更新比顶楼快！！）SpaceX星舰如果要取得有商业意义的成功，要过三关。具体在更新部分后面。以下是图文直播部分。总结基本成功。瑕疵在于回收时一级火箭有发动机没有点火成功，虽然落海保持垂直但溅落速度似乎有点快，如果下面是陆地就粉身碎骨了；二级SN28直接寄了。所以不算圆满。但其他实验目的都达到了，包括燃料转移和发射载荷能力都验证成功，总体瑕不掩瑜。我上面说的三关，第一关已经过了。所以我更两篇。（有干货）写在SpaceX星舰第三次试飞之际：《天权时代：星舰将如何改变世界——序言》22：32SN28信号消失。寄了。22：1765km高度，SN28进入载入返回黑障区。22：14再入大气层！二级火箭（SN28）达到70公里高度关键位置，没有解体！接下来的一关就是落海了。22：05推进剂内部转移成功。21：49两艘飞船开始实验转移推进剂。21：37星舰向太空中发射载荷的舱门打开。21：35星舰进入距地表164公里的亚轨道21：33星舰试飞时间超过上次21：32一级火箭、助推器垂直溅落印度洋，飞控室爆发出巨大欢呼声21：29一级火箭正在返回地球。21：28热分离顺利完成。21：27全部33台发动机工作正常。21：26点火。20：36发射时间从北京时间21：10推迟到北京时间21：25.从直播画面来看，星舰正在加注燃料，今天应该不会取消发射，但延迟几个小时是可能的。20：34离原定发射时间还有16秒时发射时间推迟到北京时间21：10星舰过三关第一关，把载荷送入近地轨道。如果这一关能过去，星舰就是目前全球服役的运载重量最大的火箭，而且有不锈钢外壳、大批量制造、液氧甲烷燃料等降低成本的手段加持，即使最后没能回收利用，成本相对NASA的SLS也是有优势的。所以，过了这一关以后，如果一次性要运送100吨以上载荷，星舰相比于现有超重型火箭的优势就是显著的。第二关，第一级火箭回收。过了这一关，星舰的单位质量载荷运载成本将下降到接近猎鹰9号和猎鹰重型的水平。 SpaceX正是靠着可重复利用的猎鹰9号和猎鹰重型，以显著的成本优势，在去年承担了全球近87%的发射任务。而星舰相比于以上两型火箭，还有单次载荷更大的优势，可以承担以上两型火箭无法承担的单次载荷达到63.8吨-100吨+的任务。第三关，第二级火箭和助推器回收。过了这一关，就足以证明，星舰的单位质量载荷运输成本将显著低于猎鹰9号和猎鹰重型。因为星舰从设计之初，就是为了大批量制造而服务的。这将颠覆已经被SpaceX颠覆过一次的航天发射市场格局，创造出大量的市场需求。这三关，星舰能闯过几关，是这次试飞的最大看点。在金融全球化时代，没有未来的民族，就没有现在。而星舰，就是未来。星舰成功之前，谁也不知道它是不是下一艘冰航母，是不是永远只能停留在图纸上。但是，它一旦成功，对一个国家的战略实力的提升，将是全方位的，也是划时代的，笔者将在《天权时代：星舰将如何改变世界》系列文章中展开论述。文章将在笔者的公众号：八宝锦囊上更新。知乎上也会更新部分内容。序言如下：（有干货）写在SpaceX星舰第三次试飞之际：《天权时代：星舰将如何改变世界——序言》,1,28,120,1710428005,上海
人类之光,-1,1,6,1710427976,湖北
一句话总结:作为一次性火箭，星舰已经成功了作为可回收火箭，星舰还得2次发射当然大家要明白这一对组合体是2022年生产的现在库房里sn29/30/31嗷嗷叫等着发射呢,1,9,111,1710427903,安徽
你知道这个有多美吗？,1,2,50,1710427817,上海
庆科掌文,0,0,2,1710427773,广东
一个在地球上工业能力被吊打的国家，居然被人吹到能在太空发展工业，这真是生下来就直接会跑步了。我只能说，吹还是美国人会吹，毕竟是种族天赋。咋了，卡车发动机技术领先就代表能造楼了？,-1,5,1,1710427767,广东
成功发射，成功分离，成功再入(二级解体是在再入后)。就表示星舰已经达到了可以运营的程度，之后就像最初的猎鹰9号一样，一边往太空打星舰，一边改进回收，赚钱试验两不误。,-1,1,13,1710427737,未知
牛逼,-1,0,0,1710427727,内蒙古
马斯克不愧是人类之光！请马上去拯救加沙人民吧！请马上解决世界儿童们的饥饿问题吧！,-1,3,1,1710427727,广东
知乎这热榜是用户刷的吗？前一分钟在热棒第3，我看了俩回答回来就第11了？3.14，是\pi day啊，他没来个15:起飞，9:26降落全场看直播，现在仍然在小窗口看。第三次看样子一级本没准备回收，二级应该是想获取再入后的数据，但是在65公里处以后丢失了连接。一开始说是1分钟黑障，现在快15分钟了，估计是彻底失联了。不管怎么说，星舰的3次进步太神速了，第一次到现在感觉没1年吧，感觉都不是一个东西了加油，人类的梦想！,-1,0,14,1710427712,江苏
我就想问丢失后会掉到哪 ,1,1,0,1710427663,江苏
航天人的终极梦想是殖民火星还是当官？,0,1,9,1710427658,美国
打了一大段字，全部删了，祝贺马斯克,-1,1,10,1710427624,云南
Fxxking awesome！比起前两次试飞，这一次的的完成度高了很多，也进行了多项试验可以期待下一次的试飞取得更多的突破,1,0,2,1710427542,浙江
首先现场控制厅像是盖在大街上。注意玻璃外的围观群众和右下角的马里奥兄弟，这个工作氛围确实挺spacex的。然后就是这不锈钢罐的内部，你还真是个大罐子啊。另外就是发射全程直播基本没有卡顿，并且有超高清晰度，实在流量捉急没敢开。侧边隔热瓦有个别脱落，卡扣不紧还是什么原因？目测个位数问题不大。,-1,0,9,1710427537,北京
其实按照普通火箭标准，土星五号已经可以瞑目了，总算可以瞑目了。回收和一级火箭的问题属于星舰给自己订的问题，下次继续呗。,-1,0,6,1710427527,上海
